calorie,name
热量：122 大卡(每100克),绿豆饼（少糖少油）
热量：329 大卡(每100克),绿豆（干），又叫青小豆、植豆、交豆
热量：341 大卡(每100克),绿豆面
热量：47 大卡(每100毫升),白玉 绿豆豆浆
热量：330 大卡(每100克),高纤宝绿豆粥 
热量：116 大卡(每100克),小扁豆
热量：337 大卡(每100克),公鸡牌绿豆
热量：46 大卡(每100克),小米粥
热量：361 大卡(每100克),小米，又叫粟米、稞子、秫子、黏米、白梁粟、粟谷
热量：357 大卡(每100克),小米面
热量：356 大卡(每100克),大黄米
热量：351 大卡(每100克),黄米
热量：287 大卡(每100克),力乐多牌皮蛋瘦肉粥
热量：379 大卡(每100克),尼克莉卜卜米
热量：405 大卡(每100克),北乡多彩杂粮（小米）
热量：400 大卡(每100克),Quaker米饼（巧克力味）
热量：112 大卡(每100克),couscous（小米）（熟）
热量：501 大卡(每100克),日清 麦麸高纤维饼干
热量：327 大卡(每100克),大麦，又叫元麦、稞麦、饭麦、赤膊麦、裸大麦
热量：380 大卡(每100克),TESCO 麦脆片(麦片)
热量：382 大卡(每100克),早早麦有机燕麦片
热量：366 大卡(每100克),北燕莜面营养面
热量：283 大卡(每100克),欧宝低脂谷物棒（含夏日水果）
热量：282 大卡(每100克),欧宝低脂苹果葡萄麦片条
热量：342 大卡(每100克),青稞
热量：420 大卡(每100克),佳之选原粒大燕麦片
热量：327 大卡(每100克),黑大麦
热量：112 大卡(每100克),玉米（鲜），又叫苞谷、珍珠米、棒子、玉蜀黍...
热量：350 大卡(每100克),玉米面(黄)
热量：352 大卡(每100克),玉米(白，干)，又叫苞谷、棒子、玉蜀黍
热量：326 大卡(每100克),玉米糁(黄)
热量：348 大卡(每100克),玉米(黄，干)，又叫苞谷、棒子、玉蜀黍
热量：327 大卡(每100克),玉米粒（黄、干）
热量：350 大卡(每100克),玉米面面条
热量：352 大卡(每100克),玉米面(白)
热量：360 大卡(每100克),日正 美国玉米粉
热量：352 大卡(每100克),玉米面(强化豆粉)
热量：61 大卡(每100克),红薯，又叫地瓜、番薯、甘薯
热量：81 大卡(每100克),马铃薯，又叫土豆、洋芋、地蛋、山药蛋、洋番薯
热量：106 大卡(每100克),白薯，又叫山芋、红皮山芋，地瓜、甘薯
热量：106 大卡(每100克),紫薯，又叫甘薯（紫色）
热量：340 大卡(每100克),马铃薯粉，又叫土豆粉
热量：342 大卡(每100克),甘薯粉，又叫番薯粉、红薯粉、地瓜粉
热量：65 大卡(每100克),马铃薯（煮）
热量：338 大卡(每100克),粉丝（干），又叫细粉、线粉、丝粉、古称索粉
热量：338 大卡(每100克),粉条（干）
热量：186 大卡(每100克),魔芋精粉
热量：373 大卡(每100克),藕粉
热量：360 大卡(每100克),可迪全乐 意大利通心粉
热量：20 大卡(每100克),魔芋
热量：368 大卡(每100克),豌豆粉丝
热量：344 大卡(每100克),桂花藕粉
热量：346 大卡(每100克),玉米淀粉
热量：69 大卡(每100克),马铃薯（蒸）
热量：357 大卡(每100克),东北粉条
热量：344 大卡(每100克),马铃薯丁(脱水)，又叫土豆
热量：366 大卡(每100克),淀粉（大米）
热量：301 大卡(每100克),面条（生），又叫面
热量：110 大卡(每100克),面条（煮），又叫面
热量：259 大卡(每100克),烙饼
热量：214 大卡(每100克),花卷
热量：388 大卡(每100克),油条
热量：221 大卡(每100克),曼可顿全麦高纤维面包
热量：223 大卡(每100克),馒头
热量：403 大卡(每100克),油饼
热量：298 大卡(每100克),烧饼(加糖)
热量：283 大卡(每100克),面条(标准粉，切面)
热量：338 大卡(每100克),燕麦片，又叫燕麦
热量：361 大卡(每100克),薏米，又叫薏苡、薏苡仁、六谷米、苡米、薏仁...
热量：449 大卡(每100克),私房小厨苡仁粉
热量：168 大卡(每100克),伊田面馆 拉面
热量：391 大卡(每100克),莜麦面
热量：340 大卡(每100克),顶味 荞麦面
热量：138 大卡(每100克),伊田面馆.乌冬面
热量：376 大卡(每100克),糜子米(炒米)
热量：240 大卡(每100克),面包世家 黑麦面包
热量：316 大卡(每100克),苦荞麦粉，又叫荞麦面
热量：46 大卡(每100克),白粥，又叫白粥（粳米），稀饭，大米粥，白米...
热量：59 大卡(每100克),稀饭，又叫白粥（籼米），大米粥，白米粥
热量：31 大卡(每100毫升),豆浆
热量：34 大卡(每100毫升),豆浆（甜）
热量：197 大卡(每100克),豆腐干（白干），又叫豆干、白干
热量：84 大卡(每100克),豆腐
热量：15 大卡(每100克),豆腐花，又叫豆腐花、豆花
热量：87 大卡(每100克),豆腐(南)，又叫嫩豆腐、软豆腐
热量：116 大卡(每100克),豆腐(北)，又叫软玉
热量：447 大卡(每100克),豆腐皮（干），又叫百片、腐衣、豆皮、油皮
热量：423 大卡(每100克),豆奶粉
热量：356 大卡(每100克),籼米粉，又叫米线、米粉、粉
热量：116 大卡(每100克),米饭，又叫大米饭，饭，蒸米
热量：346 大卡(每100克),大米，又叫稻米、米、生米
热量：349 大卡(每100克),米粉（干），又叫粉
