info,name,price
杨力 （著） | 人民邮电出版社 | 9787115502179 | 2019-3-1出版 | 2019-3-12 上架,Hadoop大数据开发实战,38.35
汪端 （著） | 人民邮电出版社 | 9787115505071 | 2019-3-1出版 | 2019-3-12 上架,老邮差 Photoshop数码照片处理技法 人像篇 修订版,68.53
[美] 莎丽·劳伦斯·弗里格（Shari Lawrence Pfleeger）[加] 乔安妮·M.阿特利（Joanne M. Atlee） （著） | 人民邮电出版社 | 9787115498076 | 2019-2-1出版 | 2019-3-12 上架,软件工程 第4版 修订版,68.53
邓凯 唐勇 秦云霞  李蓉 （著） | 人民邮电出版社 | 9787115507938 | 2019-3-1出版 | 2019-3-12 上架,电子商务网站建设与网页设计（微课版）,32.34
杨治明 许桂秋 （著） | 人民邮电出版社 | 9787115503534 | 2019-3-1出版 | 2019-3-12 上架,Hadoop大数据技术与应用,42.35
刘雯 （著） | 人民邮电出版社 | 9787115507679 | 2019-4-1出版 | 2019-3-12 上架,ASIC设计理论与实践——RTL 验证、综合与版图设计,34.65
温春水 毕洁馨 （著） | 机械工业出版社 | 9787111619314 | 2019-3-4出版 | 2019-3-11 上架,从零开始学Hadoop大数据分析（视频教学版）,62.30
李必信 廖力 王璐璐 孔祥龙 周颖 （著） | 机械工业出版社 | 9787111620709 | 2019-3-5出版 | 2019-3-11 上架,软件架构理论与实践,69.30
李鑫 （著） | 机械工业出版社 | 9787111618560 | 2019-3-1出版 | 2019-3-11 上架,Hyperledger Fabric技术内幕：架构设计与实现原理,90.30
恒盛杰资讯 （著） | 机械工业出版社 | 9787111620419 | 2019-2-25出版 | 2019-3-11 上架,Office 2019高效办公三合一从入门到精通（视频自学版）,41.86
[美] 威廉·斯托林斯（William Stallings）[澳] 劳里·布朗（Lawrie Brown） （著） | 机械工业出版社 | 9787111617655 | 2019-3-5出版 | 2019-3-11 上架,计算机安全：原理与实践（原书第4版）,97.30
郭朝勇 （著） | 机械工业出版社* | 9787111618140 | 2019-2-1出版 | 2019-3-10 上架,AutoCAD 2019中文版基础与应用教程,44.00
赵军 （著） | 机械工业出版社 | 9787111618768 | 2019-2-1出版 | 2019-3-10 上架,计算思维与算法入门,34.30
