APG,BPG,FG,FT,PTs,RPG,SPG,Three_PT,career_minute,career_play,player_contract,player_height,player_name,player_num,player_position,player_salary,player_team,player_weight
,,,,,,,,,该球员为新秀，从未在NBA出场过。,1年89万美元,1.75米/5尺9,克里斯-克莱蒙斯,NULL,G,本年薪金：89万美元,休斯顿火箭,82公斤/180磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,1年89万美元,1.96米/6尺5,威廉-麦克道尔-怀特,NULL,G,本年薪金：89万美元,休斯顿火箭,84公斤/185磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,1年89万美元，2019年夏天签,1.85米/6尺1,沙莫里-庞兹,NULL,G,本年薪金：89万美元,休斯顿火箭,79公斤/174磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,双向合同,1.91米/6尺3,特雷旺-杜瓦尔,NULL,G,本年薪金：7万美元,休斯顿火箭,84公斤/186磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,双向合同,2.03米/6尺8,文森特-爱德华兹,12,F,本年薪金：7万美元,休斯顿火箭,102公斤/225磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,3年420万，2019年夏天签,1.93米/6尺4,马特-托马斯,21,G,本年薪金：89万美元,多伦多猛龙,89公斤/197磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,新秀合同，2019年夏天签，2022年到期,2.08米/6尺10,德万-埃尔南德斯,20,F,本年薪金：89万美元,多伦多猛龙,106公斤/233磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,双向合同,1.93米/6尺4,乔丹-劳埃德,8,G,本年薪金：7万美元,多伦多猛龙,95公斤/210磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,新秀合同，2019年夏天签，2022年到期，2021年，2022年球队选项,2.06米/6尺9,KZ-奥克帕拉,NULL,F,本年薪金：89万美元,迈阿密热火,98公斤/215磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,双向合同,1.88米/6尺2,布兰登-古德温,0,G,本年薪金：7万美元,亚特兰大老鹰,82公斤/180磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,双向合同,2.01米/6尺7,亚历克斯-波伊思雷斯,22,F,本年薪金：7万美元,亚特兰大老鹰,108公斤/238磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,双向合同,1.93米/6尺4,乔-奇利,31,G,本年薪金：7万美元,夏洛特黄蜂,86公斤/190磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,新秀合同，2019年夏天签，2022年到期,1.98米/6尺6,阿德米拉尔-斯科菲尔德,4,F,本年薪金：89万美元,华盛顿奇才,109公斤/241磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,双向合同,1.96米/6尺5,乔丹-麦克雷,52,G,本年薪金：7万美元,华盛顿奇才,81公斤/179磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,双向合同,1.93米/6尺4,特洛伊-科佩恩,3,G,本年薪金：7万美元,奥兰多魔术,95公斤/210磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,新秀合同，2019年夏天签，2022年到期,2.01米/6尺7,伊格纳斯-布拉兹代基斯,17,F,本年薪金：89万美元,纽约尼克斯,100公斤/220磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,双向合同,1.91米/6尺3,卡迪姆-阿伦,0,G,本年薪金：7万美元,纽约尼克斯,91公斤/200磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,新秀合同，2019年夏天签，2022年到期,1.98米/6尺6,米耶-奥尼,24,G,本年薪金：89万美元,犹他爵士,95公斤/209磅
,,,,,,,,,该球员为新秀，从未在NBA出场过。,双向合同,2.03米/6尺8,唐特-格兰瑟姆,15,F,本年薪金：7万美元,俄克拉荷马城雷霆,98公斤/215磅
