date,temperature,weather
2015年09月01日,30℃/22℃,雷阵雨/阴
2015年09月02日,31℃/22℃,多云/晴
2015年09月03日,30℃/21℃,晴/多云
2015年09月04日,31℃/24℃,雷阵雨/中到大雨
2015年09月05日,28℃/22℃,阴/多云
2015年09月06日,28℃/21℃,多云/多云
2015年09月07日,28℃/21℃,多云/晴
2015年09月08日,29℃/20℃,晴/晴
2015年09月09日,28℃/20℃,晴/晴
2015年09月10日,28℃/19℃,晴/多云
2015年09月11日,27℃/20℃,阴/阴
2015年09月12日,26℃/16℃,多云/晴
2015年09月13日,25℃/18℃,晴/多云
2015年09月14日,27℃/20℃,多云/阴
2015年09月15日,27℃/19℃,阴/阴
2015年09月16日,27℃/17℃,多云/多云
2015年09月17日,27℃/18℃,多云/多云
2015年09月18日,27℃/19℃,多云/多云
2015年09月19日,28℃/20℃,多云/多云
2015年09月20日,28℃/18℃,多云/多云
2015年09月21日,28℃/20℃,多云/阴
2015年09月22日,27℃/22℃,阵雨/雷阵雨
2015年09月23日,27℃/20℃,阴/多云
2015年09月24日,27℃/20℃,阴/阵雨
2015年09月25日,27℃/19℃,阴/阴
2015年09月26日,28℃/19℃,多云/多云
2015年09月27日,27℃/18℃,多云/多云
2015年09月28日,28℃/21℃,多云/多云
2015年09月29日,25℃/21℃,阵雨/阵雨
2015年09月30日,27℃/17℃,雷阵雨/大雨
2015年10月01日,23℃/14℃,阵雨/多云
2015年10月02日,24℃/14℃,晴/晴
2015年10月03日,25℃/17℃,多云/多云
2015年10月04日,25℃/18℃,阴/阵雨
2015年10月05日,22℃/18℃,阴/多云
2015年10月06日,23℃/19℃,阴/阵雨
2015年10月07日,22℃/18℃,阵雨/阵雨
2015年10月08日,22℃/15℃,阴/多云
2015年10月09日,22℃/12℃,多云/晴
2015年10月10日,23℃/10℃,多云/晴
2015年10月11日,21℃/10℃,晴/晴
2015年10月12日,23℃/11℃,晴/晴
2015年10月13日,24℃/12℃,晴/多云
2015年10月14日,25℃/12℃,多云/多云
2015年10月15日,25℃/13℃,多云/晴
2015年10月16日,26℃/15℃,晴/晴
2015年10月17日,26℃/15℃,晴/晴
2015年10月18日,25℃/14℃,多云/多云
2015年10月19日,24℃/15℃,多云/多云
2015年10月20日,25℃/16℃,多云/多云
2015年10月21日,25℃/16℃,多云/多云
2015年10月22日,25℃/16℃,多云/多云
2015年10月23日,25℃/17℃,多云/多云
2015年10月24日,26℃/17℃,多云/多云
2015年10月25日,23℃/17℃,多云/阴
2015年10月26日,24℃/14℃,阵雨/小雨
2015年10月27日,19℃/11℃,多云/多云
2015年10月28日,18℃/13℃,多云/阴
2015年10月29日,17℃/12℃,阴/阴
2015年10月30日,18℃/11℃,多云/多云
2015年10月31日,17℃/10℃,多云/小雨
2015年11月01日,17℃/8℃,多云/晴
2015年11月02日,19℃/8℃,晴/晴
2015年11月03日,20℃/13℃,多云/多云
2015年11月04日,20℃/14℃,阴/阴
2015年11月05日,23℃/17℃,小雨/小雨
2015年11月06日,25℃/16℃,小雨/小到中雨
2015年11月07日,15℃/12℃,小雨/小雨
2015年11月08日,16℃/9℃,小雨/阴
2015年11月09日,17℃/8℃,多云/多云
2015年11月10日,15℃/10℃,阴/多云
2015年11月11日,15℃/11℃,多云/阴
2015年11月12日,15℃/12℃,小雨/小到中雨
2015年11月13日,16℃/11℃,阴/阴
2015年11月14日,18℃/10℃,多云/多云
2015年11月15日,18℃/14℃,阴/小到中雨
2015年11月16日,18℃/13℃,阴/小雨
2015年11月17日,16℃/12℃,小雨/小雨
2015年11月18日,15℃/11℃,小雨/小雨
2015年11月19日,12℃/10℃,小雨/阴
2015年11月20日,15℃/12℃,阴/阴
2015年11月21日,15℃/13℃,阴/小雨
2015年11月22日,17℃/14℃,小雨/小雨
2015年11月23日,15℃/6℃,阴/小雨
2015年11月24日,9℃/2℃,小到中雨/小到中雨
2015年11月25日,6℃/-1℃,阴/多云
2015年11月26日,3℃/-4℃,晴/晴
2015年11月27日,5℃/2℃,晴/多云
2015年11月28日,12℃/7℃,多云/阴
2015年11月29日,16℃/6℃,多云/晴
2015年11月30日,15℃/9℃,多云/多云
2015年12月01日,17℃/7℃,多云/阴
2015年12月02日,13℃/3℃,多云/晴
2015年12月03日,10℃/-1℃,晴/晴
2015年12月04日,10℃/4℃,晴/多云
2015年12月05日,8℃/2℃,阴/阴
2015年12月06日,10℃/1℃,多云/晴
2015年12月07日,12℃/3℃,多云/晴
2015年12月08日,14℃/8℃,晴/多云
2015年12月09日,12℃/9℃,小雨/小雨
2015年12月10日,12℃/8℃,小雨/阴
2015年12月11日,11℃/2℃,多云/多云
2015年12月12日,10℃/3℃,晴/多云
2015年12月13日,8℃/3℃,阴/阴
2015年12月14日,10℃/4℃,多云/多云
2015年12月15日,11℃/0℃,多云/多云
2015年12月16日,6℃/-4℃,晴/晴
2015年12月17日,6℃/-2℃,晴/晴
2015年12月18日,7℃/-1℃,晴/多云
2015年12月19日,9℃/5℃,多云/小雨
2015年12月20日,8℃/1℃,小雨/阴
2015年12月21日,11℃/5℃,多云/阴
2015年12月22日,11℃/6℃,阴/雾
2015年12月23日,11℃/7℃,阴/小雨
2015年12月24日,9℃/5℃,小雨/阴
2015年12月25日,11℃/3℃,多云/晴
2015年12月26日,14℃/4℃,多云/多云
2015年12月27日,10℃/2℃,阴/多云
2015年12月28日,7℃/0℃,多云/多云
2015年12月29日,9℃/1℃,多云/晴
2015年12月30日,12℃/0℃,晴/晴
2015年12月31日,10℃/0℃,晴/晴
2016年01月01日,11℃/4℃,多云/多云
2016年01月02日,15℃/7℃,多云/小雨
2016年01月03日,16℃/7℃,多云/阴
2016年01月04日,13℃/6℃,小雨/小到中雨
2016年01月05日,8℃/6℃,阴/阴
2016年01月06日,8℃/3℃,阴/多云
2016年01月07日,8℃/-1℃,阴/阴
2016年01月08日,7℃/-1℃,多云/晴
2016年01月09日,9℃/3℃,多云/阴
2016年01月10日,10℃/3℃,小雨/小雨
2016年01月11日,6℃/0℃,小雨/雨夹雪
2016年01月12日,4℃/-2℃,阴/阴
2016年01月13日,5℃/-3℃,多云/多云
2016年01月14日,8℃/-2℃,多云/多云
2016年01月15日,9℃/-2℃,晴/晴
2016年01月16日,11℃/3℃,多云/小雨
2016年01月17日,8℃/-1℃,阴/晴
2016年01月18日,5℃/-4℃,晴/晴
2016年01月19日,4℃/-4℃,晴/多云
2016年01月20日,4℃/0℃,雨夹雪/中到大雪
2016年01月21日,1℃/-1℃,小雪/小雪
2016年01月22日,2℃/-5℃,小到中雪/小雪
2016年01月23日,0℃/-9℃,阴/多云
2016年01月24日,-5℃/-8℃,晴/晴
2016年01月25日,2℃/-6℃,晴/晴
2016年01月26日,6℃/-2℃,晴/多云
2016年01月27日,8℃/4℃,多云/小雨
2016年01月28日,6℃/3℃,小雨/小到中雨
2016年01月29日,5℃/0℃,小雨/雨夹雪
2016年01月30日,4℃/-1℃,雨夹雪/阴
2016年01月31日,4℃/-3℃,雨夹雪/小雪
2016年02月01日,2℃/-4℃,多云/多云
2016年02月02日,5℃/-4℃,多云/多云
2016年02月03日,7℃/-3℃,晴/多云
2016年02月04日,7℃/-1℃,阴/阴
2016年02月05日,9℃/-2℃,多云/阴
2016年02月06日,7℃/-3℃,多云/晴
2016年02月07日,11℃/-2℃,多云/多云
2016年02月08日,15℃/3℃,晴/晴
2016年02月09日,17℃/6℃,多云/多云
2016年02月10日,21℃/11℃,多云/阵雨
2016年02月11日,20℃/11℃,雷阵雨/多云
2016年02月12日,16℃/6℃,雷阵雨/小到中雨
2016年02月13日,11℃/1℃,阵雨/阴
2016年02月14日,5℃/-4℃,阴/多云
2016年02月15日,7℃/-1℃,晴/晴
